Trade ID,Account ID,Instrument,TradeTime,B/S,Open/Close,Amount,Price,Trade Value,Spread Costs,Booked Amount
5270501396,508536INET,Alphabet Inc. - A Share (ISIN: US02079K3059),23-Jun-2022,Bought,Open,150,2235.49,-335323.5,0,-2387.2
5271303852,508536INET,Alphabet Inc. - A Share (ISIN: US02079K3059),24-Jun-2022,Sold,Close,-150,2300,345000,0,65559.11
5413470724,508536INET,Danske Bank A/S (ISIN: DK0010274414),29-Nov-2022,Bought,Open,10000,126.528255,-1265282.55,0,-885.7
5413592209,508536INET,Danske Bank A/S (ISIN: DK0010274414),29-Nov-2022,Sold,Close,-10000,126.81363,1268136.3,0,1966.05
5419439387,508536INET,US Tech. 100 NAS (ISIN: US6311011026),05-Dec-2022,Bought,Open,0.5,11930.11,-5965.06,-0.8,0
5419449147,508536INET,US Tech. 100 NAS (ISIN: US6311011026),05-Dec-2022,Sold,Close,-0.5,11948.41,5974.2,-0.8,64.09
5436836860,508536INET,Danske Bank A/S (ISIN: DK0010274414),23-Dec-2022,Bought,Open,7000,137.2848143,-960993.7,0,-672.7
5273483716,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),28-Jun-2022,Bought,Open,157,2316.05,-363619.85,0,-363.62
5273839168,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),28-Jun-2022,Sold,Close,-157,2268.663662,356180.19,0,-7795.84
5277114649,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),01-Jul-2022,Sold,Open,-50,2178.78,108939,0,-108.94
5277309718,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),01-Jul-2022,Bought,Close,50,2142.81,-107140.5,0,1691.36
5281941537,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),07-Jul-2022,Bought,Open,150,2305.818667,-345872.8,0,-345.87
5281982317,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),07-Jul-2022,Sold,Close,-150,2325.264,348789.6,0,2568.01
5285531777,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),12-Jul-2022,Bought,Open,150,2334.750967,-350212.65,0,-350.21
5285569480,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),12-Jul-2022,Sold,Close,-150,2313.449133,347017.37,0,-3542.3
5287889888,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),14-Jul-2022,Bought,Open,43,2192.92,-94295.56,0,-94389.86
5289112685,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),15-Jul-2022,Sold,Close,-43,2240.3415,96334.68,0,96236.14
5294958244,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),22-Jul-2022,Bought,Open,3000,107.80776,-323423.28,0,-323.42
5295625844,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),25-Jul-2022,Sold,Close,-3000,109.78,329340,0,5587.38
5295665295,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),25-Jul-2022,Bought,Open,3000,109.1677867,-327503.36,0,-327.5
5295914818,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),25-Jul-2022,Sold,Close,-3000,107.8825133,323647.54,0,-4179.47
5296796859,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),26-Jul-2022,Bought,Open,3000,107.11032,-321330.96,0,-321.33
5298063370,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),27-Jul-2022,Sold,Close,-3000,110.7875,332362.5,0,10699.18
5301964989,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),01-Aug-2022,Bought,Open,3000,116.23292,-348698.76,0,-348.7
5304502429,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),03-Aug-2022,Sold,Close,-3000,117,351000,0,1950.24
5304834859,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),03-Aug-2022,Bought,Open,3000,118.32893,-354986.79,0,-354.99
5304850819,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),03-Aug-2022,Sold,Close,-3000,118.3008833,354902.65,0,-439.04
5306142546,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),04-Aug-2022,Bought,Open,800,118.16,-94528,0,-94622.53
5308369861,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),08-Aug-2022,Sold,Close,-800,119.8842,95907.36,0,95838.02
5311467279,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),11-Aug-2022,Bought,Open,3000,121.2006733,-363602.02,0,-254.52
5313043444,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),12-Aug-2022,Sold,Close,-3000,121.5200833,364560.25,0,703.04
5314041577,700880INET,Goldman Sachs (ISIN: US38141G1040),15-Aug-2022,Bought,Open,280,356.0708,-99699.82,0,-99769.61
5318544202,700880INET,Goldman Sachs (ISIN: US38141G1040),19-Aug-2022,Sold,Close,-280,349.1526,97762.73,0,97692.06
5318546747,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),19-Aug-2022,Bought,Open,3000,117.96286,-353888.58,0,-247.72
5329340045,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),01-Sep-2022,Sold,Close,-3000,108.35,325050,0,-29066.12
5329490825,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),01-Sep-2022,Sold,Open,-2000,108.973285,217946.57,0,-152.56
5329710703,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),01-Sep-2022,Bought,Close,2000,107.8,-215600,0,2195.65
5333061384,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),06-Sep-2022,Sold,Open,-2222,107.020297,237799.1,0,-166.46
5333182724,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),06-Sep-2022,Bought,Close,2222,106.01,-235554.22,0,2079.99
5336441865,700880INET,Alphabet Inc. - A Share (ISIN: US02079K3059),09-Sep-2022,Bought,Open,2222,109.6886679,-243728.22,0,-170.61
